,symbols,beta,currency,industry,sector
0,VZ,0.3707,USD,Telecom Services,Communication Services
1,XRX,1.78178,USD,Information Technology Services,Technology
2,CVLT,0.65865,USD,Software Application,Technology
3,IEFA,0.0,USD,,
4,X,2.47036,USD,Steel,Basic Materials
5,MAT,1.46945,USD,Leisure,Consumer Cyclical
6,CTL,0.98214,USD,Telecom Services,Communication Services
7,MIK,3.1918,USD,Specialty Retail,Consumer Cyclical
8,DVN,3.28499,USD,Oil & Gas E&P,Energy
9,BKLN,0.0,USD,,
10,IBN,0.73233,USD,Banks Regional,Financial Services
11,MPC,2.14996,USD,Oil & Gas Refining & Marketing,Energy
12,EZU,0.0,USD,,
13,PM,0.77777,USD,Tobacco,Consumer Defensive
14,MSCI,0.82861,USD,Financial Data & Stock Exchanges,Financial Services
15,RDN,1.82295,USD,Insurance Specialty,Financial Services
16,KO,0.54807,USD,Beverages Non-Alcoholic,Consumer Defensive
17,AABA,1.756993,USD,Asset Management,Financial Services
18,SRC,1.02631,USD,REIT Diversified,Real Estate
19,NFX,1.789293,USD,Oil & Gas E&P,Energy
20,COP,1.681,USD,Oil & Gas E&P,Energy
21,CHK,2.45907,USD,Oil & Gas E&P,Energy
22,DIS,1.07699,USD,Entertainment,Consumer Cyclical
23,LEN,1.6133,USD,Residential Construction,Consumer Cyclical
24,CVX,1.21133,USD,Oil & Gas Integrated,Energy
25,PYPL,1.07513,USD,Credit Services,Financial Services
26,GDXJ,0.0,USD,,
27,CTRP,1.546975,USD,Travel & Leisure,Consumer Cyclical
28,AUY,2.01242,USD,Gold,Basic Materials
29,DBEF,0.0,USD,,
